Date,Open (Spot Price USD),High (Spot Price USD),Low (Spot Price USD),Close (Spot Price USD)
2021-08-13 00:00:00,1777.27,1792.77,1775.87,1792.02
2021-08-16 00:00:00,1795.68,1802.79,1794.17,1800.96
2021-08-17 00:00:00,1801.71,1806.45,1793.85,1798.27
2021-08-18 00:00:00,1801.17,1804.08,1790.62,1799.67
2021-08-19 00:00:00,1801.17,1801.71,1789.54,1794.39
2021-08-20 00:00:00,1796.44,1800.1,1791.7,1795.36
2021-08-23 00:00:00,1818.19,1819.16,1808.93,1817.22
2021-08-24 00:00:00,1820.56,1823.04,1814.96,1816.36
2021-08-25 00:00:00,1808.07,1808.5,1795.79,1803.76
2021-08-26 00:00:00,1800.85,1811.62,1796.76,1805.81
